Product_Name,Sex,Listing_Price,Sale_Price,Price_Difference,Discount,Brand,Catetory_Production,Rating,Reviews
"Men's adidas Originals Continental 80 Shoes",Male,7999,7999,0,0%,ADIDAS,"ADIDAS ORIGINALS",2.9,31
"Men's Originals Rivalry RM Shoes",Male,12999,12999,0,0%,ADIDAS,"ADIDAS ORIGINALS",2.8,63
"Men's adidas Originals Streetball Shoes",Male,10999,10999,0,0%,ADIDAS,"ADIDAS ORIGINALS",2.2,56
"Men's Running Kalus 1.0 Shoes",Male,4999,4999,0,0%,ADIDAS,"ADIDAS CORE/NEO",1,55
"Men's adidas Sport Inspired VL Court 2.0 Shoes",Male,5999,3599,2400,40%,ADIDAS,"ADIDAS CORE/NEO",4.2,31
"MEN'S ADIDAS ORIGINALS SPZL ZX 452 SHOES",Male,9999,4999,5000,50%,ADIDAS,"ADIDAS ORIGINALS",3.7,61
"MEN's adidas RUNNING zeta 1.0 SHOES",Male,5999,2400,3599,60%,ADIDAS,"ADIDAS CORE/NEO",2.2,80
"Men's adidas Sport Inspired Duramo Lite 2.0 Shoes",Male,4999,2499,2500,50%,ADIDAS,"ADIDAS CORE/NEO",3.1,17
"Men's adidas Football Copa 19+ Firm Ground Cleats",Male,22999,13799,9200,40%,ADIDAS,"ADIDAS SPORT PERFORMANCE",2.2,79
"Men's adidas Sport Inspired Questar Drive Shoes",Male,6999,3499,3500,50%,ADIDAS,"ADIDAS CORE/NEO",1.5,88
"MEN'S ADIDAS SPORT INSPIRED CLOUDFOAM LITE RACER SHOES",Male,5999,2999,3000,50%,ADIDAS,"ADIDAS CORE/NEO",4.2,81
"Men's adidas Running Kalus 1.0 Shoes",Male,4999,4999,0,0%,ADIDAS,"ADIDAS CORE/NEO",4.9,7
"Men's adidas Running Duramo 9 Shoes",Male,5999,2999,3000,50%,ADIDAS,"ADIDAS CORE/NEO",2.7,63
"Men's adidas Originals Crazy BYW X 2.0 Shoes",Male,14999,8999,6000,40%,ADIDAS,"ADIDAS ORIGINALS",1,60
"Men's adidas Running Kalus Shoes",Male,4299,2149,2150,50%,ADIDAS,"ADIDAS CORE/NEO",2.8,78
"Men's adidas Running Hellion Z Shoes",Male,3299,1649,1650,50%,ADIDAS,"ADIDAS CORE/NEO",4.5,28
"Men's adidas Running Grito Shoes",Male,3999,1999,2000,50%,ADIDAS,"ADIDAS CORE/NEO",2.8,98
"Men's adidas Originals STAN SMITH Low Shoes",Male,7599,5319,2280,30%,ADIDAS,"ADIDAS ORIGINALS",4.9,70
"Men's adidas Sport Inspired Zeta 2.0 Shoes",Male,4599,2299,2300,50%,ADIDAS,"ADIDAS CORE/NEO",3.5,95
"Men's adidas Football Predator 19.4 Flexible Ground Cleats",Male,4599,2759,1840,40%,ADIDAS,"ADIDAS SPORT PERFORMANCE",2,55
"Men's adidas Swim Gadi Slippers",Male,1499,749,750,50%,ADIDAS,"ADIDAS CORE/NEO",3.4,57
"men's ADIDAS RUNNING LEGUS 1 SHOES",Male,5599,2240,3359,60%,ADIDAS,"ADIDAS CORE/NEO",1,2
"Men's adidas RUNNING NAYO SHOES",Male,4599,1840,2759,60%,ADIDAS,"ADIDAS CORE/NEO",4.7,71
"Men's adidas Originals Spezial Handball Shoes",Male,7999,4799,3200,40%,ADIDAS,"ADIDAS ORIGINALS",3.6,53
"Men's adidas Originals Supercourt Shoes",Male,7599,4559,3040,40%,ADIDAS,"ADIDAS ORIGINALS",2.9,97
